Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Snover,,459,♀,877,115,14,8,9,68.9,28.0,28.0,Ice Shard,Ice Beam,,"2023-03-09 20:22","2023-03-09 20:13",2/9/2023,54.8kg,0.95m,0,0,0,4500,84.27%,645,90.15%,419000,198,Snover,,0,54.92%,1847,95.04%,347000,248,Abomasnow,Normal,0,,,,,,,,,
2,Hippopotas,,449,♀,566,95,14,10,15,86.7,15.0,15.0,Tackle,Rock Tomb,,"2023-03-09 20:18","2023-03-09 20:13",2/9/2023,21.11kg,0.6m,0,0,0,1900,98.05%,81,98.16%,496400,268,Hippopotas,,0,23.81%,3121,94.86%,81900,124,Hippowdon,,0,,,,,,,,,
3,Plusle,,311,♂,852,93,1,10,6,37.8,19.0,19.0,Quick Attack,Swift,,"2023-03-09 20:16","2023-03-09 20:16",2/9/2023,8.71kg,0.53m,0,0,0,2500,87.72%,504,96.99%,166000,164,Plusle,,0,31.33%,2813,84.71%,480000,252,Plusle,,0,,,,,,,,,
4,Elgyem,,605,♀,559,81,11,10,11,71.1,15.0,15.0,Astonish,Psybeam,,"2023-03-09 20:14","2023-02-16 07:17",2/14/2023,6.2kg,0.43m,0,0,0,1900,85.52%,594,94.60%,496400,268,Elgyem,,0,51.40%,1991,96.05%,174400,220,Beheeyem,,0,,,,,,,,,
5,Scatterbug,,664,♀,190,67,10,10,14,75.6,15.0,15.0,Tackle,Struggle,,"2023-03-09 20:14","2023-02-16 07:16",2/14/2023,1.42kg,0.29m,0,0,0,1900,57.00%,1762,95.16%,91400,207,Vivillon,,0,89.67%,424,92.71%,496400,393,Vivillon,,0,95.73%,176,95.26%,481400,268,Scatterbug,,0,
6,Spewpa,,665,♂,197,73,14,11,14,86.7,15.0,15.0,,,,"2023-03-09 20:14","2023-03-09 20:14",2/12/2023,,,0,0,0,1900,55.60%,1819,95.10%,86400,178,Vivillon,,0,97.24%,114,95.55%,496400,368,Vivillon,,0,94.77%,215,95.26%,397400,268,Spewpa,,0,
7,Qwilfish,Normal,211,♂,1305,107,11,10,2,51.1,24.0,24.0,,,,"2023-03-09 20:14","2023-02-16 07:15",2/12/2023,,,0,0,3,3500,38.05%,2538,94.48%,27500,24,Qwilfish,Normal,0,51.60%,1983,87.79%,451000,226,Qwilfish,Normal,0,,,,,,,,,
8,Dewott,,502,♂,1094,128,0,1,7,17.8,26.0,26.0,Fury Cutter,Aqua Tail,,"2023-03-09 20:14","2023-02-16 07:15",2/12/2023,32.9kg,0.95m,0,0,0,4000,71.45%,1170,95.89%,217000,214,Dewott,,0,61.71%,1569,96.42%,186000,314,Samurott,Normal,0,,,,,,,,,
9,Audino,,531,♂,1112,160,5,9,6,44.4,26.0,26.0,Zen Headbutt,Hyper Beam,,"2023-03-09 20:14","2023-02-16 07:14",2/11/2023,15.41kg,0.74m,0,0,3,4000,68.64%,1285,95.99%,186000,214,Audino,,0,38.19%,2532,86.09%,436000,214,Audino,,0,,,,,,,,,
10,Hariyama,,297,♂,1856,202,15,15,14,97.8,23.0,23.0,Bullet Punch,Superpower,,"2023-03-09 20:14","2023-02-11 12:59",2/11/2023,370.52kg,2.65m,0,0,0,3500,,,,,,,,,47.64%,2145,95.72%,74000,64,Hariyama,,0,,,,,,,,,
11,Carvanha,,318,♂,509,82,9,10,14,73.3,19.0,19.0,Bite,Poison Fang,,"2023-03-09 20:14","2023-03-09 20:13",2/11/2023,15.61kg,0.69m,0,0,0,2500,63.86%,1481,94.95%,36000,82,Sharpedo,,0,87.18%,526,92.10%,480000,302,Sharpedo,,0,,,,,,,,,
12,Pignite,,499,♂,402,82,9,6,13,62.2,8.0,8.0,Tackle,,,"2023-03-09 20:14","2023-03-09 20:13",2/11/2023,64.22kg,1.03m,0,0,0,800,54.26%,1874,95.36%,31400,136,Emboar,,0,40.29%,2446,95.46%,135600,228,Emboar,,0,31.67%,2799,90.76%,2600,3,Pignite,,0,
13,Chansey,,113,♀,654,287,15,6,7,62.2,19.0,19.0,,,,"2023-03-09 20:14","2023-02-16 08:46",2/10/2023,,,0,0,3,2500,12.65%,3578,92.24%,2500,52,Blissey,,0,8.13%,3763,93.01%,150000,194,Blissey,,0,,,,,,,,,
14,Wimpod,,767,♂,29,21,3,9,5,37.8,3.0,3.0,,,,"2023-03-09 20:14","2023-03-09 20:14",2/9/2023,,,0,0,0,400,76.65%,957,96.31%,34800,444,Golisopod,,0,79.58%,837,97.04%,124200,522,Golisopod,,0,36.29%,2610,91.52%,2800,406,Golisopod,,0,
15,Flabébé,,669,♀,488,77,11,11,13,77.8,17.0,17.0,,,,"2023-03-09 20:14","2023-02-20 13:11",2/9/2023,,,0,0,0,2200,56.17%,1796,94.63%,269800,285,Floette,,0,36.34%,2608,95.16%,65300,183,Florges,,0,37.56%,2558,91.88%,0,0,Flabébé,,0,
16,Snover,,459,♂,766,113,4,11,11,57.8,26.0,26.0,,,,"2023-03-09 20:14","2023-03-09 20:14",2/9/2023,,,0,0,0,4000,64.66%,1448,86.62%,436000,214,Snover,,0,88.67%,465,97.17%,436000,264,Abomasnow,Normal,0,,,,,,,,,
17,Frillish,,592,♂,514,83,10,13,15,84.4,15.0,15.0,,,,"2023-03-09 20:14","2023-02-16 08:23",2/9/2023,,,0,0,0,1900,60.61%,1614,95.52%,38400,86,Jellicent,,0,97.46%,105,98.49%,438400,318,Jellicent,,0,,,,,,,,,
18,Delcatty,,301,♀,500,87,8,11,14,73.3,12.0,12.0,,,,"2023-03-09 20:14","2023-02-17 01:22",2/9/2023,40.42kg,131m,0,0,0,1300,89.67%,424,96.27%,380400,280,Delcatty,,0,88.62%,467,91.97%,505400,280,Delcatty,,0,91.94%,331,95.81%,1300,2,Delcatty,,0,
19,Totodile,,158,♂,262,57,1,4,0,11.1,10.0,10.0,Water Gun,Water Pulse,,"2023-03-09 20:14","2023-02-17 01:38",2/9/2023,6.59kg,0.55m,0,0,0,1000,51.11%,2003,94.99%,302000,311,Croconaw,,0,46.79%,2180,96.02%,250000,396,Feraligatr,,0,88.45%,474,96.27%,4600,31,Croconaw,,0,
20,Nidoran♂,,32,♂,205,59,0,10,10,44.4,10.0,10.0,Peck,Body Slam,,"2023-03-09 20:13","2023-02-16 08:51",2/9/2023,6.16kg,0.41m,0,0,0,1000,98.93%,45,98.32%,49000,176,Nidoking,,0,96.48%,145,98.27%,385000,411,Nidoking,,0,91.58%,346,96.52%,59000,60,Nidoran♂,,0,
21,Totodile,,158,♂,755,101,0,14,9,51.1,27.0,27.0,Water Gun,Crunch,,"2023-03-09 20:13","2023-02-17 01:38",2/9/2023,18.29kg,0.83m,0,0,0,4500,94.31%,234,97.72%,140000,177,Croconaw,,0,96.90%,128,98.67%,114000,243,Feraligatr,,0,,,,,,,,,
22,Eevee,,133,♂,704,108,5,8,13,57.8,26.0,26.0,Tackle,Dig,,"2023-03-09 20:13","2023-02-11 09:27",2/11/2023,8.37kg,0.37m,0,0,5,4000,58.61%,1696,95.02%,4000,29,Umbreon,,0,92.33%,315,98.00%,52000,71,Flareon,,0,,,,,,,,,
23,Chansey,,113,♀,495,258,10,12,12,75.6,15.0,15.0,Pound,Psychic,,"2023-03-09 20:13","2023-02-16 08:46",2/11/2023,47.03kg,1.31m,0,0,0,1900,22.49%,3175,93.02%,18900,68,Blissey,,0,58.44%,1703,96.00%,182400,230,Blissey,,0,49.72%,2060,90.85%,0,0,Chansey,,0,
24,Minun,,312,♀,442,71,3,11,15,64.4,10.0,10.0,Quick Attack,Discharge,,"2023-03-09 20:13","2023-02-16 07:15",2/12/2023,0.96kg,0.21m,0,0,0,1000,92.82%,295,97.37%,213000,220,Minun,,0,75.36%,1010,90.35%,510000,286,Minun,,0,81.39%,763,94.48%,2000,2,Minun,,0,
25,Girafarig,,203,♂,843,94,12,12,10,75.6,15.0,15.0,Double Kick,,,"2023-03-09 20:13","2023-02-16 07:15",2/14/2023,34.68kg,1.39m,0,0,0,1900,60.51%,1618,95.04%,64400,58,Girafarig,,0,91.26%,359,93.41%,496400,268,Girafarig,,0,,,,,,,,,
26,Chimecho,,358,♀,930,99,11,12,11,75.6,15.0,15.0,Extrasensory,Shadow Ball,,"2023-03-09 20:13","2023-02-16 07:16",2/14/2023,1.94kg,0.83m,0,0,0,1900,57.29%,1750,95.14%,45400,42,Chimecho,,0,92.41%,312,96.58%,496400,268,Chimecho,,0,,,,,,,,,
27,Charmander,,4,♂,672,83,12,12,4,62.2,26.0,26.0,Scratch,Flame Charge,,"2023-03-09 20:13","2023-02-16 07:17",2/15/2023,12.74kg,0.72m,0,0,0,4000,35.78%,2631,94.36%,139000,173,Charmeleon,,0,45.27%,2242,95.70%,77000,197,Charizard,Normal,0,,,,,,,,,
28,Stunfisk,Normal,618,♀,889,131,11,10,14,77.8,15.0,15.0,Mud Shot,Mud Bomb,,"2023-03-09 20:13","2023-02-16 07:18",2/15/2023,9.3kg,0.6m,0,0,0,1900,39.17%,2492,94.12%,52400,48,Stunfisk,Normal,0,92.19%,321,94.42%,496400,268,Stunfisk,Normal,0,,,,,,,,,
29,Helioptile,,694,♀,395,72,14,15,14,95.6,15.0,15.0,Quick Attack,Parabolic Charge,,"2023-03-09 20:13","2023-02-16 07:18",2/15/2023,5.54kg,0.47m,0,0,0,1900,39.19%,2491,94.34%,21400,70,Heliolisk,,0,60.29%,1627,96.35%,199400,252,Heliolisk,,0,84.64%,630,95.49%,16400,16,Helioptile,,0,
30,Lotad,,270,♂,122,49,10,10,12,71.1,8.0,8.0,Water Gun,Bubble Beam,,"2023-03-09 20:13","2023-02-16 07:18",2/15/2023,2.03kg,0.46m,0,0,0,800,53.82%,1892,95.15%,59100,186,Ludicolo,,0,93.55%,265,97.75%,498600,415,Ludicolo,,0,89.35%,437,96.19%,0,125,Ludicolo,,0,
31,Aggron,Normal,306,♀,1587,103,7,15,1,51.1,20.0,20.0,Dragon Tail,Meteor Beam,,"2023-03-09 20:13","2023-02-16 07:18",2/15/2023,209.35kg,1.82m,0,0,0,2500,,,,,,,,,57.02%,1761,96.11%,109000,98,Aggron,Normal,0,,,,,,,,,
32,Castform,Sunny,351,♂,1232,126,10,14,7,68.9,28.0,28.0,Ember,Solar Beam,,"2023-03-09 20:13","2023-02-16 07:18",2/15/2023,0.67kg,0.27m,0,0,3,4500,53.53%,1904,95.33%,131000,144,Castform,Sunny,0,87.50%,513,91.84%,419000,198,Castform,Sunny,0,,,,,,,,,
33,Vaporeon,,134,♂,997,132,8,6,9,51.1,12.0,12.0,Water Gun,Aqua Tail,,"2023-03-09 20:13","2023-02-16 07:19",2/15/2023,42.14kg,1.15m,0,0,2,1300,79.10%,857,96.33%,21000,24,Vaporeon,,0,56.29%,1791,95.94%,105400,98,Vaporeon,,0,,,,,,,,,
